,winsize,threshold,k,RMSE,r2_score
131,50,1.05,0.7999999999999999,58.260027906240005,-93.51171853450522
128,50,1.04,0.9999999999999999,59.972777562148174,-99.15038189675802
136,50,1.1,0.7999999999999999,63.03172526343728,-109.62739158210796
151,60,1.02,0.7999999999999999,64.20065813951753,-113.76864225581579
129,50,1.04,1.0999999999999999,65.27950233787605,-117.65825391166044
160,60,1.04,0.7,65.5965799094035,-118.81375429211319
132,50,1.05,0.8999999999999999,68.6850428420871,-130.36166076348633
152,60,1.02,0.8999999999999999,69.12065340825072,-132.03317414841806
135,50,1.1,0.7,71.4703819957065,-141.23172923553574
165,60,1.05,0.7,71.79936907939616,-142.54416373304292
155,60,1.03,0.7,72.32816244357602,-144.66631935579136
137,50,1.1,0.8999999999999999,76.82947995743646,-163.36149036189337
138,50,1.1,0.9999999999999999,77.87594307375458,-167.86938489771663
153,60,1.02,0.9999999999999999,79.28659531157888,-174.0426265853559
134,50,1.05,1.0999999999999999,79.37393071746033,-174.42846326917183
166,60,1.05,0.7999999999999999,80.35331968445692,-178.7843693422832
156,60,1.03,0.7999999999999999,80.79714895334034,-180.775922006356
154,60,1.02,1.0999999999999999,82.61465405632836,-189.04588077353293
139,50,1.1,1.0999999999999999,84.81139561010231,-199.28697304622094
161,60,1.04,0.7999999999999999,86.92783824041793,-209.4079003476591
157,60,1.03,0.8999999999999999,89.2590622808352,-220.8446314995549
167,60,1.05,0.8999999999999999,92.79227286958802,-238.7551300623004
163,60,1.04,0.9999999999999999,97.9325502455075,-266.05358448827315
162,60,1.04,0.8999999999999999,98.67735071410546,-270.1310435480203
158,60,1.03,0.9999999999999999,99.74674572491283,-276.03953822286286
168,60,1.05,0.9999999999999999,100.16907995163933,-278.3905117419133
159,60,1.03,1.0999999999999999,103.57110110018121,-297.6905415751984
164,60,1.04,1.0999999999999999,108.9104669913721,-329.2809491445726
169,60,1.05,1.0999999999999999,112.61620406701824,-352.1393006812037
